EITC_id,dataset,statecode,statistic,statid,year,data,Statename,NDecimals,StateAbbrev
104,EIC,50,EIC_totalreturns_state,301,1997,260311.0,Wisconsin,2.0,WI
105,EIC,51,EIC_totalreturns_state,301,1997,33761.0,Wyoming,2.0,WY
106,EIC,99,EIC_totalreturns_state,301,1998,19442160.0,United States,2.0,US
107,EIC,1,EIC_totalreturns_state,301,1998,443441.0,Alabama,2.0,AL
108,EIC,2,EIC_totalreturns_state,301,1998,30833.0,Alaska,2.0,AK
109,EIC,3,EIC_totalreturns_state,301,1998,342692.0,Arizona,2.0,AZ
110,EIC,4,EIC_totalreturns_state,301,1998,250174.0,Arkansas,2.0,AR
111,EIC,5,EIC_totalreturns_state,301,1998,2373809.0,California,2.0,CA
112,EIC,6,EIC_totalreturns_state,301,1998,235744.0,Colorado,2.0,CO
113,EIC,7,EIC_totalreturns_state,301,1998,146219.0,Connecticut,2.0,CT
114,EIC,8,EIC_totalreturns_state,301,1998,49796.0,Delaware,2.0,DE
115,EIC,9,EIC_totalreturns_state,301,1998,52638.0,D.C.,2.0,DC
116,EIC,10,EIC_totalreturns_state,301,1998,1283199.0,Florida,2.0,FL
117,EIC,11,EIC_totalreturns_state,301,1998,702954.0,Georgia,2.0,GA
118,EIC,12,EIC_totalreturns_state,301,1998,67211.0,Hawaii,2.0,HI
119,EIC,13,EIC_totalreturns_state,301,1998,83836.0,Idaho,2.0,ID
120,EIC,14,EIC_totalreturns_state,301,1998,753848.0,Illinois,2.0,IL
121,EIC,15,EIC_totalreturns_state,301,1998,364171.0,Indiana,2.0,IN
122,EIC,16,EIC_totalreturns_state,301,1998,148997.0,Iowa,2.0,IA
123,EIC,17,EIC_totalreturns_state,301,1998,146827.0,Kansas,2.0,KS
124,EIC,18,EIC_totalreturns_state,301,1998,303911.0,Kentucky,2.0,KY
125,EIC,19,EIC_totalreturns_state,301,1998,475701.0,Louisiana,2.0,LA
126,EIC,20,EIC_totalreturns_state,301,1998,80815.0,Maine,2.0,ME
127,EIC,21,EIC_totalreturns_state,301,1998,324565.0,Maryland,2.0,MD
128,EIC,22,EIC_totalreturns_state,301,1998,280285.0,Massachusetts,2.0,MA
129,EIC,23,EIC_totalreturns_state,301,1998,562121.0,Michigan,2.0,MI
130,EIC,24,EIC_totalreturns_state,301,1998,217542.0,Minnesota,2.0,MN
131,EIC,25,EIC_totalreturns_state,301,1998,343825.0,Mississippi,2.0,MS
132,EIC,26,EIC_totalreturns_state,301,1998,385385.0,Missouri,2.0,MO
133,EIC,27,EIC_totalreturns_state,301,1998,65948.0,Montana,2.0,MT
134,EIC,28,EIC_totalreturns_state,301,1998,94016.0,Nebraska,2.0,NE
135,EIC,29,EIC_totalreturns_state,301,1998,125729.0,Nevada,2.0,NV
136,EIC,30,EIC_totalreturns_state,301,1998,56003.0,New Hampshire ,2.0,NH
137,EIC,31,EIC_totalreturns_state,301,1998,446071.0,New Jersey,2.0,NJ
138,EIC,32,EIC_totalreturns_state,301,1998,179459.0,New Mexico,2.0,NM
139,EIC,33,EIC_totalreturns_state,301,1998,1302422.0,New York,2.0,NY
140,EIC,34,EIC_totalreturns_state,301,1998,642853.0,North Carolina,2.0,NC
141,EIC,35,EIC_totalreturns_state,301,1998,36849.0,North Dakota,2.0,ND
142,EIC,36,EIC_totalreturns_state,301,1998,687933.0,Ohio,2.0,OH
143,EIC,37,EIC_totalreturns_state,301,1998,283049.0,Oklahoma,2.0,OK
144,EIC,38,EIC_totalreturns_state,301,1998,202177.0,Oregon,2.0,OR
145,EIC,39,EIC_totalreturns_state,301,1998,692596.0,Pennsylvania,2.0,PA
146,EIC,40,EIC_totalreturns_state,301,1998,58782.0,Rhode Island,2.0,RI
147,EIC,41,EIC_totalreturns_state,301,1998,373985.0,South Carolina,2.0,SC
148,EIC,42,EIC_totalreturns_state,301,1998,48174.0,South Dakota,2.0,SD
149,EIC,43,EIC_totalreturns_state,301,1998,479331.0,Tennessee,2.0,TN
150,EIC,44,EIC_totalreturns_state,301,1998,1879486.0,Texas,2.0,TX
151,EIC,45,EIC_totalreturns_state,301,1998,108892.0,Utah,2.0,UT
152,EIC,46,EIC_totalreturns_state,301,1998,36032.0,Vermont,2.0,VT
